Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Crime_Code
6164727,10714570,HZ469450,10/11/2016 07:20:00 AM,014XX N SEDGWICK ST,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,1821,18.0,27.0,8.0,08A,2016,10/18/2016 03:59:35 PM,41.908010584,-87.638495711,1
3184919,9686695,HX337231,07/08/2014 10:36:00 PM,042XX W FULLERTON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),True,False,2524,25.0,31.0,20.0,18,2014,02/04/2016 06:33:39 AM,41.924404723,-87.733432022,17
126930,10509964,HZ251553,05/04/2016 06:00:00 PM,034XX W OHIO ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENCE,True,False,1121,11.0,27.0,23.0,18,2016,05/11/2016 03:50:55 PM,41.89182683,-87.713084988,17
3323346,10004682,HY194633,03/22/2015 07:55:00 PM,056XX N NORTHWEST HWY,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,1622,16.0,45.0,10.0,06,2015,08/17/2015 03:03:40 PM,41.982994891,-87.782395633,31
6094021,10601591,HZ353511,07/14/2016 11:30:00 AM,004XX W NORTH AVE,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,False,False,1821,18.0,43.0,8.0,06,2016,07/21/2016 03:55:21 PM,41.911106795,-87.63906832,31
3304701,9890200,HX540055,12/12/2014 06:15:00 PM,0000X E 21ST ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,131,1.0,2.0,33.0,06,2014,02/04/2016 06:33:39 AM,41.854257475,-87.626091213,31
6213997,10787463,HZ555734,12/18/2016 04:39:00 AM,065XX S ELLIS AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,321,3.0,20.0,42.0,03,2016,12/25/2016 03:51:54 PM,41.776003524,-87.600966016,28
2949003,9285265,HW429635,08/29/2013 11:00:00 PM,065XX S CALIFORNIA AVE,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),SIDEWALK,True,False,831,8.0,15.0,66.0,18,2013,02/04/2016 06:33:39 AM,41.77446098,-87.693272861,17
3028609,9414223,HW557927,12/04/2013 06:00:00 AM,017XX N MILWAUKEE AVE,0810,THEFT,OVER $500,STREET,False,False,1434,14.0,32.0,24.0,06,2013,02/04/2016 06:33:39 AM,41.912406937,-87.680602833,31
2544935,8641353,HV316449,06/02/2012 11:30:00 PM,021XX N MILWAUKEE AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1431,14.0,1.0,22.0,06,2012,02/04/2016 06:33:39 AM,41.919899515,-87.692442472,31
6060125,10547336,HZ293006,06/04/2016 09:25:00 AM,045XX S CALUMET AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,215,2.0,3.0,38.0,08B,2016,06/11/2016 03:53:19 PM,41.812015729,-87.618229288,2
2548932,8647447,HV321193,06/05/2012 03:00:00 PM,082XX S INGLESIDE AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,631,6.0,8.0,44.0,03,2012,02/04/2016 06:33:39 AM,41.745382548,-87.601380078,28
3121040,9579227,HX229783,04/18/2014 08:00:00 PM,032XX W REDFIELD DR,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,PARK PROPERTY,False,False,831,8.0,18.0,66.0,02,2014,02/04/2016 06:33:39 AM,41.76522849,-87.703580478,5
2479714,8537025,HV211758,03/23/2012 10:15:00 AM,001XX S WABASH AVE,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,False,False,112,1.0,42.0,32.0,06,2012,02/04/2016 06:33:39 AM,41.880251406,-87.626157171,31
3121508,9579820,HX230424,04/20/2014 09:06:00 AM,083XX S ADA ST,041A,BATTERY,AGGRAVATED: HANDGUN,VEHICLE NON-COMMERCIAL,False,False,613,6.0,21.0,71.0,04B,2014,02/04/2016 06:33:39 AM,41.742296704,-87.657158968,2
